Key: ,,,,,,,,,,,,,,,,
Original Field Name,Key Name,,,,,,,,,,,,,,,
ChannelName,A,,,,,,,,,,,,,,,
ProductCategory,B,,,,,,,,,,,,,,,
TicketCategory,C,,,,,,,,,,,,,,,
TicketSubCategory,D,,,,,,,,,,,,,,,
AgentTenure,E,,,,,,,,,,,,,,,
AgentShift,F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Field,Attribute,Sample Size,CSAT_1,CSAT_2,CSAT_3,CSAT_4,CSAT_5,Avg CSAT,SDEV CSAT,RTM_<2,RTM_2to5,RTM_6to30,RTM_31to100,RTM_>100,Avg RTM,SDEV RTM
ALL,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
A,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
A,Email,2989,620,63,101,385,1820,3.91,1.61,554,756,668,273,519,168.2,540.4
A,Inbound,67433,8616,1006,2016,8842,46953,4.25,1.37,10622,21409,15380,5687,9271,117.7,437.0
A,Outcall,14564,1814,206,419,1873,10252,4.27,1.35,2079,4610,3478,1294,2082,131.0,466.2
B,ALL,17077,3307,331,564,2165,10710,3.97,1.57,2697,4552,3255,1291,3278,281.3,813.1
B,Affiliates,166,23,3,3,25,112,4.20,1.41,28,48,30,13,33,276.9,842.3
B,Books & General merchandise,3320,583,74,115,433,2115,4.03,1.53,531,872,571,259,637,315.4,872.8
B,Electronics,4652,825,84,163,593,2987,4.04,1.53,674,1379,963,340,791,232.7,724.2
B,Furniture,453,126,7,17,50,253,3.66,1.75,77,98,95,39,95,330.2,893.4
B,GiftCard,26,11,0,0,2,13,3.23,1.97,6,5,3,0,10,779.6,1398.9
B,Home,1326,269,24,37,166,830,3.95,1.60,203,326,255,96,265,298.7,816.0
B,Home Appliances,1277,339,22,40,139,737,3.71,1.73,155,313,265,115,282,315.9,871.3
B,LifeStyle,4117,653,73,131,571,2689,4.11,1.47,721,1132,722,271,811,305.4,868.8
B,Mobile,1740,478,44,58,186,974,3.65,1.75,302,379,351,158,354,232.7,685.1
C,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
C,App Related,2351,294,34,66,270,1687,4.29,1.36,311,793,586,192,268,101.1,396.9
C,App/website,10,1,0,0,2,7,4.40,1.26,2,1,1,3,0,21.6,23.1
C,Cancellation,2212,435,40,58,257,1422,3.99,1.59,316,648,527,188,324,126.0,428.9
C,Feedback,2294,351,35,76,269,1563,4.16,1.46,404,646,528,222,311,131.0,510.0
C,Offers & Cashback,480,69,2,11,75,323,4.21,1.40,90,128,111,47,71,151.0,557.2
C,Onboarding related,65,9,1,2,5,48,4.26,1.43,14,18,12,8,5,128.9,513.3
C,Order Related,23213,3728,422,826,3147,15090,4.10,1.48,4393,6788,5205,1963,3120,109.9,413.9
C,Others,99,29,4,7,13,46,3.43,1.74,12,26,23,7,22,167.1,442.9
C,Payments related,2327,238,35,69,307,1678,4.35,1.27,396,722,549,193,267,85.9,320.9
C,Product Queries,3668,580,91,175,581,2241,4.04,1.48,368,1116,959,373,542,133.1,496.4
C,Refund Related,4549,617,65,121,609,3137,4.23,1.39,890,1367,1031,354,615,113.5,431.8
C,Returns,43718,4699,546,1125,5565,31783,4.35,1.28,6059,14522,9994,3704,6327,129.9,463.3
D,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
D,Account updation,150,34,6,5,13,92,3.82,1.68,18,55,38,8,24,139.5,428.6
D,Affiliate Offers,183,34,2,2,29,116,4.04,1.54,35,43,41,19,30,173.7,541.9
D,App/website Related,10,1,0,0,2,7,4.40,1.26,2,1,1,3,0,21.6,23.1
D,Billing Related,57,2,2,1,6,46,4.61,0.96,13,20,11,3,7,92.4,329.0
D,COD Refund Details,85,16,3,3,10,53,3.95,1.59,3,22,35,9,10,67.7,197.5
